Route,Departing Port,Arriving Port,Airline,Month,Sectors Scheduled,Sectors Flown,Cancellations,Departures On Time,Arrivals On Time,Departures Delayed,Arrivals Delayed,"OnTime Departures(%)","OnTime Arrivals(%)","Cancellations(%)"
Cairns-Brisbane,Cairns,Brisbane,All Airlines,Jan-20, 433, 430, 3, 358, 356, 72, 74,83.3,82.8,0.7
Cairns-Melbourne,Cairns,Melbourne,All Airlines,Jan-20, 182, 182, 0, 124, 121, 58, 61,68.1,66.5,0.0
Cairns-Sydney,Cairns,Sydney,All Airlines,Jan-20, 293, 292, 1, 230, 223, 62, 69,78.8,76.4,0.3
Cairns-Townsville,Cairns,Townsville,All Airlines,Jan-20, 149, 148, 1, 133, 133, 15, 15,89.9,89.9,0.7
Canberra-Adelaide,Canberra,Adelaide,All Airlines,Jan-20, 62, 59, 3, 49, 49, 10, 10,83.1,83.1,4.8
Canberra-Brisbane,Canberra,Brisbane,All Airlines,Jan-20, 276, 262, 14, 215, 213, 47, 49,82.1,81.3,5.1
Canberra-Melbourne,Canberra,Melbourne,All Airlines,Jan-20, 372, 348, 24, 249, 237, 99, 111,71.6,68.1,6.5
Canberra-Sydney,Canberra,Sydney,All Airlines,Jan-20, 478, 446, 32, 330, 314, 116, 132,74.0,70.4,6.7
Coffs Harbour-Sydney,Coffs Harbour,Sydney,All Airlines,Jan-20, 187, 186, 1, 135, 132, 51, 54,72.6,71.0,0.5
Darwin-Alice Springs,Darwin,Alice Springs,All Airlines,Jan-20, 45, 44, 1, 40, 36, 4, 8,90.9,81.8,2.2
Darwin-Brisbane,Darwin,Brisbane,All Airlines,Jan-20, 106, 106, 0, 89, 82, 17, 24,84.0,77.4,0.0
Darwin-Melbourne,Darwin,Melbourne,All Airlines,Jan-20, 83, 83, 0, 68, 61, 15, 22,81.9,73.5,0.0
Darwin-Perth,Darwin,Perth,All Airlines,Jan-20, 62, 62, 0, 56, 58, 6, 4,90.3,93.5,0.0
Darwin-Sydney,Darwin,Sydney,All Airlines,Jan-20, 83, 81, 2, 68, 58, 13, 23,84.0,71.6,2.4
Dubbo-Sydney,Dubbo,Sydney,All Airlines,Jan-20, 181, 178, 3, 130, 127, 48, 51,73.0,71.3,1.7
Emerald-Brisbane,Emerald,Brisbane,All Airlines,Jan-20, 163, 162, 1, 147, 146, 15, 16,90.7,90.1,0.6
Gladstone-Brisbane,Gladstone,Brisbane,All Airlines,Jan-20, 200, 200, 0, 173, 170, 27, 30,86.5,85.0,0.0
Gold Coast-Adelaide,Gold Coast,Adelaide,All Airlines,Jan-20, 65, 64, 1, 34, 47, 30, 17,53.1,73.4,1.5
Gold Coast-Melbourne,Gold Coast,Melbourne,All Airlines,Jan-20, 535, 526, 9, 245, 298, 281, 228,46.6,56.7,1.7
Gold Coast-Sydney,Gold Coast,Sydney,All Airlines,Jan-20, 855, 839, 16, 483, 544, 356, 295,57.6,64.8,1.9
Hamilton Island-Brisbane,Hamilton Island,Brisbane,All Airlines,Jan-20, 62, 61, 1, 45, 45, 16, 16,73.8,73.8,1.6
Hamilton Island-Sydney,Hamilton Island,Sydney,All Airlines,Jan-20, 93, 92, 1, 65, 69, 27, 23,70.7,75.0,1.1
Hobart-Brisbane,Hobart,Brisbane,All Airlines,Jan-20, 84, 84, 0, 67, 65, 17, 19,79.8,77.4,0.0
Hobart-Melbourne,Hobart,Melbourne,All Airlines,Jan-20, 541, 537, 4, 350, 301, 187, 236,65.2,56.1,0.7
